Id,SalePrice
1461,117164.0
1462,158072.0
1463,187662.0
1464,197265.0
1465,199692.0
1466,174601.0
1467,180394.0
1468,161090.0
1469,193698.0
1470,119775.0
1471,165128.0
1472,98911.0
1473,96379.0
1474,144924.0
1475,110510.0
1476,360296.0
1477,253975.0
1478,313570.0
1479,303769.0
1480,514438.0
1481,333058.0
1482,209800.0
1483,182156.0
1484,163210.0
1485,191005.0
1486,189021.0
1487,331475.0
1488,224773.0
1489,196558.0
1490,247783.0
1491,194644.0
1492,99364.0
1493,183912.0
1494,297124.0
1495,288024.0
1496,239119.0
1497,183320.0
1498,192575.0
1499,171879.0
1500,160925.0
1501,183985.0
1502,142032.0
1503,314458.0
1504,244698.0
1505,233425.0
1506,193502.0
1507,242855.0
1508,202966.0
1509,160417.0
1510,148589.0
1511,170963.0
1512,172548.0
1513,148467.0
1514,165706.0
1515,192331.0
1516,154632.0
1517,174513.0
1518,129674.0
1519,204544.0
1520,130110.0
1521,135197.0
1522,177711.0
1523,117736.0
1524,125275.0
1525,122217.0
1526,113665.0
1527,112498.0
1528,139588.0
1529,159442.0
1530,193255.0
1531,117524.0
1532,91823.0
1533,141125.0
1534,123907.0
1535,143904.0
1536,104200.0
1537,56524.0
1538,154706.0
1539,199694.0
1540,83678.0
1541,139991.0
1542,151586.0
1543,180879.0
1544,83524.0
1545,115235.0
1546,134548.0
1547,133845.0
1548,138233.0
1549,123988.0
1550,140734.0
1551,102736.0
1552,146223.0
1553,143360.0
1554,119203.0
1555,165882.0
1556,82792.0
1557,119985.0
1558,105423.0
1559,60868.0
1560,132613.0
1561,129688.0
1562,128766.0
1563,121412.0
1564,160344.0
1565,152300.0
1566,231408.0
1567,78854.0
1568,249375.0
1569,134261.0
1570,133699.0
1571,107702.0
1572,142750.0
1573,227446.0
1574,120049.0
1575,234508.0
1576,230194.0
1577,173204.0
1578,162771.0
1579,147228.0
1580,194936.0
1581,159208.0
1582,126871.0
1583,288165.0
1584,216340.0
1585,135459.0
1586,77073.0
1587,115066.0
1588,148505.0
1589,96424.0
1590,126433.0
1591,92481.0
1592,118626.0
1593,127789.0
1594,121998.0
1595,118427.0
1596,220027.0
1597,211029.0
1598,226830.0
1599,166133.0
1600,156533.0
1601,61100.0
1602,118919.0
1603,67242.0
1604,256972.0
1605,228383.0
1606,164963.0
1607,175257.0
1608,214042.0
1609,181133.0
1610,150776.0
1611,135186.0
1612,167717.0
1613,161061.0
1614,119262.0
1615,89609.0
1616,78085.0
1617,89835.0
1618,139463.0
1619,139392.0
1620,142438.0
1621,133852.0
1622,149240.0
1623,257177.0
1624,208268.0
1625,113706.0
1626,168245.0
1627,195627.0
1628,278508.0
1629,182407.0
1630,360515.0
1631,237970.0
1632,257982.0
1633,175279.0
1634,185049.0
1635,174806.0
1636,150875.0
1637,211339.0
1638,183149.0
1639,185087.0
1640,239336.0
1641,181626.0
1642,250967.0
1643,225998.0
1644,251606.0
1645,206032.0
1646,160579.0
1647,157130.0
1648,128473.0
1649,137264.0
1650,112134.0
1651,117324.0
1652,98002.0
1653,99422.0
1654,147319.0
1655,134246.0
1656,145942.0
1657,154090.0
1658,150083.0
1659,119583.0
1660,155431.0
1661,441429.0
1662,410869.0
1663,388323.0
1664,592385.0
1665,311468.0
1666,305475.0
1667,404994.0
1668,341971.0
1669,319504.0
1670,359537.0
1671,277322.0
1672,437530.0
1673,290370.0
1674,239431.0
1675,204635.0
1676,201092.0
1677,225154.0
1678,494129.0
1679,412693.0
1680,337901.0
1681,248651.0
1682,334003.0
1683,187172.0
1684,168119.0
1685,170822.0
1686,168227.0
1687,169450.0
